SKU_Id,SKU_Name,Value,SKU_Category_Id
1,Gas 95,250.00,1
5,MDELVAC 1 SHC 5W40 PAIL 20L :EG,1.00,2
6,M-DELVAC 1 SHC 5W40 4X5L :EG*,1.00,2
7,M-DELVAC MX III 20W50 GSP 4X5L AME-1 :EG,1.00,2
8,M-DELVAC MX III 20W50 PAIL 20L :EG,1.00,2
9,M-DELVAC MX 15W40 PAIL 20L :EG,1.00,2
10,M-DELVAC 1350 GSP 4X5L LCL :EG,1.00,2
11,M-DELVAC 1350 PAIL 20L :EG,1.00,2
12,MOBIL X3 50 GSP 4X5L :EG,1.00,2
13,MOBIL X3 50 PAIL 20L :EG,1.00,2
14,MOBIL X3 50 PAIL 16L :EG,1.00,2
15,M-SUP 4T 20W50 12X1L :EG,1.00,2
16,M-1 FS 5W30 GSP 4X4L AME-1 :EG,1.00,2
17,M-1 FS X1 5W50 GSP 4X4L AME-1 :EG,1.00,2
18,M-1 F 0W40 GSP 4X4L AME-1 :EG,1.00,2
19,M-1 FSX1 5W40 4X4L AME-1:EG,1.00,2
20,M-1 ESP FORM5W30 GSP 4X4L AME HCC :EG,1.00,2
21,M-1 X1 5W30 GSP 4X4L AME-1 :EG*,1.00,2
22,MOBIL SUPER 15W-50 GSP 4X4L :EG,1.00,2
23,MOBIL SUPER 15W-50 GSP 12X1L :EG,1.00,2
24,MOBIL SPL 20W50 GSP 4X4L AME-1 :EG,1.00,2
25,MOBIL SPL 20W50 GSP 12X1L AME-1 :EG,1.00,2
26,M-MULTIGRADE 20W50 GSP 4X4L AME-1 :EG,1.00,2
27,M-MULTIGRADE 20W50 GSP 12X1L AME-1 :EG,1.00,2
28,MOBIL SUPER 15W-50 GSP 4X5L :EG PROMO,1.00,2
29,Fuel 95,1.00,2
30,MOBIL X4 50 GSP 4X5L :EG,1.00,2
31,MOBIL X4 50 PAIL 16L :EG,1.00,2
32,MOBIL X4 50 PAIL 20L :EG,1.00,2
33,M-1 FS 5W-30 GSP 12X1L AME-1 :EG,1.00,2
34,M-1 FS X1 5W50 GSP 12X1L AME-1 :EG,1.00,2
35,M-SUP SYN FORM B 5W40 GSP 12X1L :EG,1.00,2
36,M-1 FSX1 5W40 12X1L AME-1:EG,1.00,2
37,M-1 ESP FORM5W30 GSP 12X1L AME HCC :EG,1.00,2
38,M-1 X1 5W30 GSP 12X1L AME-1 :EG*,1.00,2
39,M-ATF 320 GSP 12X1L AME-1 :EG,1.00,2
40,M-ATF 220 GSP 12X1L AME-1 :EG,1.00,2
41,M-COOLANT E-R MIX33% GSP 4X4L AME-1 :EG,1.00,2
42,M-COOLANT ADV RM 33% GSP 4X4L AME-1 :EG,1.00,2
43,M-LUBE HD 85W140 GSP 4X4L AME-1 :EG,1.00,2
44,M-LUBE HD 80W90 GSP 4X4L AME-1 :EG,1.00,2
45,M-LUBE HD 80W90 GSP 12X1L AME-1 :EG,1.00,2
46,MOBIL DELVAC MODERN 15W-40 5L,1.00,2
47,MOBIL DELVAC MODERN 15W-40 20L,1.00,2
50,M-DTE 26 ULTRA PAIL 16L :EG,1.00,2
51,NUTO H 68 PAIL 16L :EG,1.00,2
52,MOBIL HYDRAULIC AW 68 PAIL 16L :EG,1.00,2
53,MOBIL HD 50 4X4L :EG LOY,1.00,2
54,MOBIL HD 50 12X1L :EG LOY,1.00,2
55,NUTO H 46 PAIL 16L :EG,1.00,2
57,MDELVAC MODERN 20W50 CD III 5L,1.00,2
58,MDELVAC MODERN 20W50 CD III 20L,1.00,2
59,MDELVAC Legand 1350 5L,1.00,2
60,MDELVAC Legand 1350 20L,1.00,2
61,MDELVAC Legand X3 50 5L,1.00,2
62,MDELVAC Legand X3 50 20L,1.00,2
63,M-1 FS 5W30 5L,1.00,2
64,M-1 FS X1 5W50 5L,1.00,2
65,M-1 FS 5W40 5L,1.00,2
66,M-1 ESP 5W30 5L,1.00,2
67,M-1 X1 5W30 5L,1.00,2
